1.00 0.000000
1.09 0.076389
1.18 0.130178
1.27 0.168367
1.36 0.195556
1.45 0.214844
1.55 0.228374
1.64 0.237654
1.73 0.243767
1.82 0.247500
1.91 0.249433
2.00 0.250000
2.09 0.249527
2.18 0.248264
2.27 0.246400
2.36 0.244083
2.45 0.241427
2.55 0.238520
2.64 0.235434
2.73 0.232222
2.82 0.228928
2.91 0.225586
3.00 0.222222
3.09 0.218858
3.18 0.215510
3.27 0.212191
3.36 0.208912
3.45 0.205679
3.55 0.202498
3.64 0.199375
3.73 0.196312
3.82 0.193311
3.91 0.190373
4.00 0.187500
4.09 0.184691
4.18 0.181947
4.27 0.179267
4.36 0.176649
4.45 0.174094
4.55 0.171600
4.64 0.169166
4.73 0.166790
4.82 0.164471
4.91 0.162209
5.00 0.160000
5.09 0.157844
5.18 0.155740
5.27 0.153686
5.36 0.151681
5.45 0.149722
5.55 0.147810
5.64 0.145942
5.73 0.144117
5.82 0.142334
5.91 0.140592
6.00 0.138889
6.09 0.137224
6.18 0.135597
6.27 0.134005
6.36 0.132449
6.45 0.130926
6.55 0.129437
6.64 0.127979
6.73 0.126552
6.82 0.125156
6.91 0.123788
7.00 0.122449
7.09 0.121137
7.18 0.119853
7.27 0.118594
7.36 0.117360
7.45 0.116151
7.55 0.114966
7.64 0.113804
7.73 0.112664
7.82 0.111547
7.91 0.110451
8.00 0.109375
8.09 0.108320
8.18 0.107284
8.27 0.106267
8.36 0.105269
8.45 0.104290
8.55 0.103327
8.64 0.102382
8.73 0.101454
8.82 0.100542
8.91 0.099646
9.00 0.098765
9.09 0.097900
9.18 0.097049
9.27 0.096213
9.36 0.095391
9.45 0.094582
9.55 0.093787
9.64 0.093005
9.73 0.092235
9.82 0.091478
9.91 0.090733
10.00 0.090000
